Date,Pensioner and beneficiary LCI (PBLCI) (% change),Employee LCI (% change),Age pensioner LCI (% change),Other government transfer recipient LCI (% change),Self-funded retiree LCI (% change),Consumer Price Index (CPI) (% change)
1/6/2008,4.7,5.8,4.3,5.1,4.2,4.4
1/9/2008,5.1,6.2,4.7,5.4,4.8,5
1/12/2008,4.3,4.5,4,4.4,3.5,3.7
1/3/2009,3.5,2.4,3.5,3.5,2.9,2.4
1/6/2009,2.2,-0.8,2.8,1.9,2,1.4
1/9/2009,2,-1.1,2.4,1.7,1.5,1.2
1/12/2009,2.6,0.3,3.1,2.3,2.7,2.1
1/3/2010,2.8,2,3.2,2.6,2.9,2.9
1/6/2010,3.8,4.5,3.3,4.2,3,3.1
1/9/2010,3.8,4.7,3,4.4,2.9,2.9
1/12/2010,4,4.5,3.2,4.5,2.8,2.8
1/3/2011,4.7,4.8,4,5.1,3.5,3.3
1/6/2011,4.5,4.5,4.5,4.6,4,3.5
1/9/2011,4.2,3.9,4.3,4.1,3.8,3.4
1/12/2011,3.2,3.3,3.1,3.3,3.2,3
1/3/2012,1.4,1.2,1.1,1.6,1.3,1.6
1/6/2012,1.1,0.7,0.7,1.2,0.6,1.2
1/9/2012,1.9,0.7,2,1.9,1.5,2
1/12/2012,2.2,0.7,2.4,2,1.9,2.2
1/3/2013,2.5,1,2.8,2.3,2.3,2.5
1/6/2013,2.3,0.7,2.6,2.2,2.2,2.4
1/9/2013,2,0.9,2,2,2,2.2
1/12/2013,2.4,1.3,2.5,2.5,2.6,2.7
1/3/2014,3,2.1,3,3.1,2.9,2.9
1/6/2014,3.1,2.3,3.1,3.1,3.2,3
1/9/2014,2.1,1.9,1.9,2.3,2.2,2.3
1/12/2014,1.7,1.6,1.2,1.9,1.5,1.7
1/3/2015,0.9,0.9,0.8,1,1.3,1.3
1/6/2015,1,0.9,0.9,1.1,1.2,1.5
1/9/2015,1,0.7,0.9,1,1.2,1.5
1/12/2015,1.3,1.1,1.2,1.4,1.6,1.7
1/3/2016,1.1,1.1,0.8,1.1,1.1,1.3
1/6/2016,0.9,1,0.7,1.1,1.1,1
1/9/2016,1.5,1.2,1.5,1.6,1.5,1.3
1/12/2016,1.7,1,1.6,1.8,1.4,1.5
1/3/2017,2.4,1.5,2.4,2.5,2,2.1
1/6/2017,2,1.3,2,2,1.8,1.9
1/9/2017,2,1.5,1.7,2.1,1.6,1.8
1/12/2017,2.3,2,2.1,2.4,1.6,1.9
1/3/2018,2.3,2,2.1,2.4,1.8,1.9
1/6/2018,2.5,2.3,2.2,2.7,2,2.1
1/9/2018,2.2,2,2.3,2.2,2.3,1.9
1/12/2018,2.1,1.9,2,2.1,2.2,1.8
1/3/2019,1.6,1.4,1.4,1.6,1.6,1.3
1/6/2019,1.9,1.6,1.9,1.9,2,1.6
1/9/2019,1.9,1.3,1.7,1.9,1.9,1.7
1/12/2019,1.8,1,1.8,1.9,1.9,1.8
1/3/2020,2.4,1.1,2.4,2.4,2.3,2.2
1/6/2020,0.4,-2.1,1,0,1.1,-0.3
1/9/2020,0.9,-0.9,0.9,0.8,0.7,0.7
1/12/2020,0.7,-0.5,0.4,0.8,0.8,0.9
1/3/2021,0.6,0,0.5,0.7,1.3,1.1
1/6/2021,2.9,3.3,2.3,3.5,2.7,3.8
1/9/2021,2.7,2.6,2.6,2.7,2.9,3
1/12/2021,3,2.6,3.4,2.7,3.3,3.5
1/3/2022,4.6,3.8,4.9,4.3,4.4,5.1
1/6/2022,5,4.6,5.2,4.8,5,6.1
1/9/2022,6.4,6.7,6.5,6.3,6.3,7.3
1/12/2022,7.4,9.3,7.3,7.4,7.6,7.8
